2026-03-20 23:30:25 [INFO    ] run_simulation:400 | ============================================================
2026-03-20 23:30:25 [INFO    ] run_simulation:401 |   Phase 1 역사 학습 시작
2026-03-20 23:30:25 [INFO    ] run_simulation:402 |   시장: KR | 기간: 2024-10-01 ~ 2026-03-20
2026-03-20 23:30:25 [INFO    ] run_simulation:403 |   모델: claude-sonnet-4-6
2026-03-20 23:30:25 [INFO    ] run_simulation:404 | ============================================================
2026-03-20 23:30:25 [INFO    ] run_simulation:420 |   예상: 384일 | 비용 $5.76 | 소요 192분
2026-03-20 23:30:25 [DEBUG   ] wrapper:227 | ▶ simulate_day() 시작 args=('2024-10-01', 10000000)
2026-03-20 23:30:25 [INFO    ] wrapper:227 | ▶ build_kr_digest() 시작
2026-03-20 23:30:25 [INFO    ] build_kr_digest:192 | [국내 digest] 2024-10-01
2026-03-20 23:30:25 [DEBUG   ] load_price_with_cache:97 | 지표 캐시 갱신: 005930
2026-03-20 23:30:25 [DEBUG   ] load_price_with_cache:97 | 지표 캐시 갱신: 000660
2026-03-20 23:30:25 [DEBUG   ] load_price_with_cache:97 | 지표 캐시 갱신: 035420
2026-03-20 23:30:25 [INFO    ] build_kr_digest:300 |   ✅ KR digest 저장: 2024-10-01_KR.json (뉴스 0건, 공시 0건, 종목 0개)
2026-03-20 23:30:25 [INFO    ] wrapper:236 | ✅ build_kr_digest() 완료 (0.10초)
2026-03-20 23:30:25 [DEBUG   ] simulate_day:290 |   [2024-10-01] Claude 판단 요청 중...
2026-03-20 23:30:26 [ERROR   ] call_claude_analyst:116 | Claude [bull] 오류: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZEVXf9sUfQmq9NJbrVpm'}
2026-03-20 23:30:28 [ERROR   ] call_claude_analyst:116 | Claude [bear] 오류: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZEVXpAc5gjczbgphZdf1'}
2026-03-20 23:30:29 [ERROR   ] call_claude_analyst:116 | Claude [neutral] 오류: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZEVXwc5upWzD15tHsL7B'}
2026-03-20 23:30:31 [WARNING ] calc_actual_result:229 | 실제 결과 데이터 없음: KR 2024-10-01
2026-03-20 23:30:31 [DEBUG   ] simulate_day:311 |   [2024-10-01] Postmortem 생성 중...
2026-03-20 23:30:31 [ERROR   ] call_claude_postmortem:186 | postmortem 오류: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZEVY3FuSApZsCCsCn8De'}
2026-03-20 23:30:32 [INFO    ] simulate_day:375 |   ✅ 2024-10-01 KR | 모드:NEUTRAL | 손익:+0.00% | Bull:MISS Bear:HIT Neut:PARTIAL
2026-03-20 23:30:32 [DEBUG   ] wrapper:236 | ✅ simulate_day() 완료 (6.99초)
2026-03-20 23:30:32 [DEBUG   ] wrapper:227 | ▶ simulate_day() 시작 args=('2024-10-02', 10000000.0)
2026-03-20 23:30:32 [INFO    ] wrapper:227 | ▶ build_kr_digest() 시작
2026-03-20 23:30:32 [INFO    ] build_kr_digest:192 | [국내 digest] 2024-10-02
2026-03-20 23:30:32 [INFO    ] build_kr_digest:300 |   ✅ KR digest 저장: 2024-10-02_KR.json (뉴스 0건, 공시 0건, 종목 0개)
2026-03-20 23:30:32 [INFO    ] wrapper:236 | ✅ build_kr_digest() 완료 (0.04초)
2026-03-20 23:30:32 [DEBUG   ] simulate_day:290 |   [2024-10-02] Claude 판단 요청 중...
2026-03-20 23:30:32 [ERROR   ] call_claude_analyst:116 | Claude [bull] 오류: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZEVYA2TCBCGrjfyt8TjV'}
2026-03-20 23:30:34 [ERROR   ] call_claude_analyst:116 | Claude [bear] 오류: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZEVYHdbQneoshW38DRjb'}
2026-03-20 23:30:36 [ERROR   ] call_claude_analyst:116 | Claude [neutral] 오류: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZEVYR5pTRNVv2obnEjgS'}
2026-03-20 23:30:37 [WARNING ] calc_actual_result:229 | 실제 결과 데이터 없음: KR 2024-10-02
2026-03-20 23:30:37 [DEBUG   ] simulate_day:311 |   [2024-10-02] Postmortem 생성 중...
2026-03-20 23:30:37 [ERROR   ] call_claude_postmortem:186 | postmortem 오류: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZEVYWTXGoYKjkXxb9QoH'}
2026-03-20 23:30:38 [INFO    ] simulate_day:375 |   ✅ 2024-10-02 KR | 모드:NEUTRAL | 손익:+0.00% | Bull:MISS Bear:HIT Neut:PARTIAL
2026-03-20 23:30:38 [DEBUG   ] wrapper:236 | ✅ simulate_day() 완료 (6.26초)
2026-03-20 23:30:38 [DEBUG   ] wrapper:227 | ▶ simulate_day() 시작 args=('2024-10-03', 10000000.0)
2026-03-20 23:30:38 [INFO    ] wrapper:227 | ▶ build_kr_digest() 시작
2026-03-20 23:30:38 [INFO    ] build_kr_digest:192 | [국내 digest] 2024-10-03
2026-03-20 23:30:38 [INFO    ] build_kr_digest:300 |   ✅ KR digest 저장: 2024-10-03_KR.json (뉴스 0건, 공시 0건, 종목 0개)
2026-03-20 23:30:38 [INFO    ] wrapper:236 | ✅ build_kr_digest() 완료 (0.05초)
2026-03-20 23:30:38 [DEBUG   ] simulate_day:290 |   [2024-10-03] Claude 판단 요청 중...
2026-03-20 23:30:39 [ERROR   ] call_claude_analyst:116 | Claude [bull] 오류: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZEVYcX9f8aWDgR6ejzhr'}
2026-03-20 23:30:40 [ERROR   ] call_claude_analyst:116 | Claude [bear] 오류: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZEVYkBmnARGkn6YwrZns'}
2026-03-20 23:30:43 [ERROR   ] call_claude_analyst:116 | Claude [neutral] 오류: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZEVYtwsS1HHVJ8fDpE1b'}
2026-03-20 23:30:44 [WARNING ] calc_actual_result:229 | 실제 결과 데이터 없음: KR 2024-10-03
2026-03-20 23:30:44 [DEBUG   ] simulate_day:311 |   [2024-10-03] Postmortem 생성 중...
2026-03-20 23:30:44 [ERROR   ] call_claude_postmortem:186 | postmortem 오류: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZEVZ1sLnDSrWNecHGWww'}
2026-03-20 23:30:45 [INFO    ] simulate_day:375 |   ✅ 2024-10-03 KR | 모드:NEUTRAL | 손익:+0.00% | Bull:MISS Bear:HIT Neut:PARTIAL
2026-03-20 23:30:45 [DEBUG   ] wrapper:236 | ✅ simulate_day() 완료 (7.05초)
2026-03-20 23:30:45 [DEBUG   ] wrapper:227 | ▶ simulate_day() 시작 args=('2024-10-04', 10000000.0)
2026-03-20 23:30:45 [INFO    ] wrapper:227 | ▶ build_kr_digest() 시작
2026-03-20 23:30:45 [INFO    ] build_kr_digest:192 | [국내 digest] 2024-10-04
2026-03-20 23:30:45 [INFO    ] build_kr_digest:300 |   ✅ KR digest 저장: 2024-10-04_KR.json (뉴스 0건, 공시 0건, 종목 0개)
2026-03-20 23:30:45 [INFO    ] wrapper:236 | ✅ build_kr_digest() 완료 (0.03초)
2026-03-20 23:30:45 [DEBUG   ] simulate_day:290 |   [2024-10-04] Claude 판단 요청 중...
2026-03-20 23:30:46 [ERROR   ] call_claude_analyst:116 | Claude [bull] 오류: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZEVZ8YgPQn9bGT4kd9BA'}
2026-03-20 23:30:47 [ERROR   ] call_claude_analyst:116 | Claude [bear] 오류: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZEVZFwvNFHNLGDQJMn3b'}
2026-03-20 23:30:49 [ERROR   ] call_claude_analyst:116 | Claude [neutral] 오류: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZEVZPRdN27yXmtbADZy8'}
2026-03-20 23:30:50 [WARNING ] calc_actual_result:229 | 실제 결과 데이터 없음: KR 2024-10-04
2026-03-20 23:30:50 [DEBUG   ] simulate_day:311 |   [2024-10-04] Postmortem 생성 중...
2026-03-20 23:30:50 [ERROR   ] call_claude_postmortem:186 | postmortem 오류: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZEVZV5x12BEMt1nPHmoY'}
2026-03-20 23:30:51 [INFO    ] simulate_day:375 |   ✅ 2024-10-04 KR | 모드:NEUTRAL | 손익:+0.00% | Bull:MISS Bear:HIT Neut:PARTIAL
2026-03-20 23:30:51 [DEBUG   ] wrapper:236 | ✅ simulate_day() 완료 (6.19초)
2026-03-20 23:30:51 [DEBUG   ] wrapper:227 | ▶ simulate_day() 시작 args=('2024-10-07', 10000000.0)
2026-03-20 23:30:51 [INFO    ] wrapper:227 | ▶ build_kr_digest() 시작
2026-03-20 23:30:51 [INFO    ] build_kr_digest:192 | [국내 digest] 2024-10-07
2026-03-20 23:30:52 [INFO    ] build_kr_digest:300 |   ✅ KR digest 저장: 2024-10-07_KR.json (뉴스 0건, 공시 0건, 종목 0개)
2026-03-20 23:30:52 [INFO    ] wrapper:236 | ✅ build_kr_digest() 완료 (0.05초)
2026-03-20 23:30:52 [DEBUG   ] simulate_day:290 |   [2024-10-07] Claude 판단 요청 중...
