selection_rank,change_pct_seen,vol_ratio_seen,gap_pct_seen,from_high_pct_seen,signal_fired,trade_ready,traded,consensus_mode,source_type,selected_reason,vetoed,observations,date,market,ticker,signal_close,day_change_pct,day_gap_pct,mom5_pct,mom20_pct,mom60_pct,above_ma60,above_ma200,volume_ratio20,from_high20_pct,atr20_pct,realized_vol20_pct,bench_mom20_pct,bench_above_ma60,leveraged_or_inverse,rs20_pct,entry_date,entry_price,entry_gap_pct,whole_share_cost_krw,affordable,entry_calendar_index,available_1d,exit_date_1d,gross_1d_pct,net_1d_pct,benchmark_net_1d_pct,excess_1d_pct,mfe_1d_pct,mae_1d_pct,hygiene_1d,available_3d,exit_date_3d,gross_3d_pct,net_3d_pct,benchmark_net_3d_pct,excess_3d_pct,mfe_3d_pct,mae_3d_pct,hygiene_3d,tp3_sl2_3d_gross_pct,tp3_sl2_3d_net_pct,tp3_sl2_3d_exit_date,tp3_sl2_3d_exit_reason,available_5d,exit_date_5d,gross_5d_pct,net_5d_pct,benchmark_net_5d_pct,excess_5d_pct,mfe_5d_pct,mae_5d_pct,hygiene_5d,tp5_sl2_5d_gross_pct,tp5_sl2_5d_net_pct,tp5_sl2_5d_exit_date,tp5_sl2_5d_exit_reason,tp8_sl4_5d_gross_pct,tp8_sl4_5d_net_pct,tp8_sl4_5d_exit_date,tp8_sl4_5d_exit_reason,tp10_sl8_5d_gross_pct,tp10_sl8_5d_net_pct,tp10_sl8_5d_exit_date,tp10_sl8_5d_exit_reason,atr_rank_daily,_score,strategy,hold_sessions,net_pct,gross_pct,exit_date,exit_reason_sim,excess_pct,mfe_pct,mae_pct,stress_net_pct
1,9.48994,1.0,,,0,0,0,MILD_BULL,initial,RS+5.6% 헬스케어 강세 지속 | RS+6.4% 헬스케어 강세 상위권 | RS+6% 헬스케어 강세 돌파 | 헬스케어 +9% RS 우수 | RS+8.0% 헬스케어 급등 모멘텀 | 강한 상대강도+9.49% 모멘텀 주목,0,6,2026-04-20,US,HIMS,31.01000022888184,7.59889159350311,-0.9888960806036851,46.619389069458215,40.82651945608171,1.6055038131348454,True,False,3.020043106736027,-2.6526426793198055,5.831183286238039,97.83973262792323,9.274243751582766,True,False,31.552275704498946,2026-04-21,28.584999084472656,-7.820061678524615,41998.79603400268,True,285,True,2026-04-21,4.1105516251264795,3.4105516251264794,-1.572896878878715,4.983448504005194,7.9937093858504005,-2.5712741876636303,ok,True,2026-04-23,-0.9386547583170035,-1.6386547583170035,-0.36704138957620525,-1.2716133687407982,9.987761207016433,-5.439910609169207,ok,-2.0000000000000018,-2.700000000000002,2026-04-21,STOP,True,2026-04-27,3.1961402959288066,2.4961402959288064,0.3605677882330911,2.1355725076957155,9.987761207016433,-5.439910609169207,ok,-2.0000000000000018,-2.700000000000002,2026-04-21,STOP,-3.431553770640483,-4.131553770640483,2026-04-23,STOP,3.1961402959288066,2.4961402959288064,2026-04-27,TIME,0.574468085106383,1.0,ALL_TOP_RANK_1D,1,3.4105516251264794,4.1105516251264795,2026-04-21,TIME,4.983448504005194,7.9937093858504005,-2.5712741876636303,2.9105516251264794
2,-4.22535,1.0,,,0,0,0,CAUTIOUS_BEAR,initial,"-5.1% 항공 섹터 하락 압력 | 항공섹터 강한 RS 약세, 추가 하락 주목 | 항공주 약세, 경기침체 우려 반영 | -4.2% RS약세 항공, 섹터 부진 지속 확인",0,4,2026-04-21,US,AAL,11.770000457763672,-3.839863743000349,-1.4705829646026292,-2.967845451614315,8.880666058114839,-19.76823178901369,False,False,1.1835619852172359,-12.229674931464885,4.821579048011058,52.81605408498269,7.430805310537236,True,False,1.4498607475776026,2026-04-22,11.800000190734863,0.2548830229773147,17532.440859565744,True,286,True,2026-04-22,-2.542374456658214,-3.242374456658214,-0.4095117411445075,-2.8328627155137065,0.6779654441774419,-2.881357178746935,ok,True,2026-04-24,2.138630423301713,1.4386304233017129,-0.42093992258097557,1.8595703458826884,3.559322622924377,-3.3050876018542286,ok,-1.9999999999999907,-2.6999999999999904,2026-04-22,STOP,True,2026-04-28,-2.2057416702497057,-2.9057416702497054,-1.2064054734385425,-1.6993361968111629,3.559322622924377,-3.3050876018542286,ok,-1.9999999999999907,-2.6999999999999904,2026-04-22,STOP,-2.2057416702497057,-2.9057416702497054,2026-04-28,TIME,-2.2057416702497057,-2.9057416702497054,2026-04-28,TIME,0.4375,2.0,ALL_TOP_RANK_1D,1,-3.242374456658214,-2.542374456658214,2026-04-22,TIME,-2.8328627155137065,0.6779654441774419,-2.881357178746935,-3.742374456658214
1,16.1364,1.0,9.431817451127635,-7.7062,0,0,0,CAUTIOUS_BEAR,initial," | 하루 +19%↑ at_high, 고유동성, RS 강함. CAUTIOUS_BEAR 환경에서 추격 부담 있어 watch | +17% 급등, at_high, high liq, 강한 RS. 과열 부담으로 watch only | +16% 급등, 관찰 대상. ATR extreme으로 trade_ready 불가",0,5,2026-04-22,US,NVTS,18.46999931335449,20.48270975391715,5.185910503917013,80.01948246903112,99.03016501459581,96.9083058423328,True,True,4.974910363971549,-1.0712413611256744,6.273633450951449,137.37898911438302,8.884232515933688,True,False,90.14593249866212,2026-04-23,18.06999969482422,-2.165672081216896,26706.73604310304,True,287,True,2026-04-23,2.4349780934620036,1.7349780934620036,-0.8479898228285758,2.5829679162905794,7.581631778476483,-2.379636482777281,ok,True,2026-04-27,1.048756984305954,0.34875698430595414,-0.12386845698987226,0.4726254412958264,9.518545931109145,-10.293307370029014,ok,-2.0000000000000018,-2.700000000000002,2026-04-23,STOP,True,2026-04-29,-14.679186785578292,-15.379186785578291,-0.8119507706408895,-14.567236014937402,9.518545931109145,-21.74875162077138,ok,-2.0000000000000018,-2.700000000000002,2026-04-23,STOP,-3.870741381668552,-4.570741381668552,2026-04-24,STOP,-8.203552061507914,-8.903552061507913,2026-04-27,STOP,0.6774193548387096,1.0,ALL_TOP_RANK_1D,1,1.7349780934620036,2.4349780934620036,2026-04-23,TIME,2.5829679162905794,7.581631778476483,-2.379636482777281,1.2349780934620036
11,16.113737,1.0,4.9424509140148984,0.0,0,0,0,MILD_BULL,rescreen,"RS+15.1%, at_high, liq=low - 유동성 부족으로 watch만.",0,1,2026-04-23,US,PENN,17.15,16.113744075829374,4.942450914014906,6.257744733581161,16.984993178717577,24.818049490538563,True,True,0.6247157318339392,0.0,4.555714285714286,72.6793090979701,7.860601733669026,True,False,9.124391445048552,2026-04-24,17.229999542236328,0.4664696340310748,25499.536981224082,True,288,True,2026-04-24,0.05803963521486821,-0.6419603647851317,-0.251177989249906,-0.39078237553522577,1.0446912940104358,-5.165405764908815,ok,True,2026-04-28,3.9783585855809545,3.2783585855809543,-1.0379732509202204,4.316331836501175,5.919909952773472,-5.165405764908815,ok,-2.0000000000000018,-2.700000000000002,2026-04-24,STOP,True,2026-04-30,1.8436277593546935,1.1436277593546935,0.9205400681819749,0.22308769117271865,5.919909952773472,-5.165405764908815,ok,-2.0000000000000018,-2.700000000000002,2026-04-24,STOP,-4.000000000000014,-4.700000000000014,2026-04-24,STOP,1.8436277593546935,1.1436277593546935,2026-04-30,TIME,0.5172413793103449,11.0,ALL_TOP_RANK_1D,1,-0.6419603647851317,0.05803963521486821,2026-04-24,TIME,-0.39078237553522577,1.0446912940104358,-5.165405764908815,-1.1419603647851317
4,-12.6208,1.0,-11.505116543490617,-2.9135,0,1,0,NEUTRAL,initial,"day_loser -12.6%, RS-12.2%/-11.7%, pullback(-2.9%), liq=high, atr=4.5%(mid), ma60=below but ep=high. mean_reversion 슬롯. XLE+0.78% 섹터 지지.",0,1,2026-04-24,US,FCX,61.04999923706055,-3.1567270985714657,-1.538706067854978,-13.046575648681735,9.5906626906358,-3.843429006270971,False,True,1.1964232285371184,-13.97167725349039,4.853316864005134,62.588614489198356,10.672925129776223,True,False,-1.0822624391404236,2026-04-27,61.30500030517578,0.41769217248479595,90405.86730794981,True,289,True,2026-04-27,-1.198924405338453,-1.8989244053384529,-0.41956194905471356,-1.4793624562837393,0.18758317135156855,-3.153414609833105,ok,True,2026-04-29,-7.306469050499665,-8.006469050499664,-1.105621302993242,-6.900847747506422,0.18758317135156855,-7.691053142674598,ok,-2.0000000000000018,-2.700000000000002,2026-04-27,STOP,True,2026-05-01,-7.7988327419807995,-8.498832741980799,0.30225378976033235,-8.80108653174113,0.18758317135156855,-7.827748794112632,ok,-2.0000000000000018,-2.700000000000002,2026-04-27,STOP,-4.110012532427865,-4.810012532427865,2026-04-28,STOP,-7.7988327419807995,-8.498832741980799,2026-05-01,TIME,0.6153846153846154,4.0,ALL_TOP_RANK_1D,1,-1.8989244053384529,-1.198924405338453,2026-04-27,TIME,-1.4793624562837393,0.18758317135156855,-3.153414609833105,-2.3989244053384526
6,23.700375,1.0,23.09074341242099,-3.1096,0,0,0,MODERATE_BULL,initial,"RS+22.9% 강력하나 blackout+atr=5.4%+ep=high로 실행 제약, watch 유지",0,1,2026-04-27,US,INTC,84.98999786376953,2.9682540841616367,1.3690298532640144,29.360733350906877,97.05540403197482,74.66090861134593,True,True,1.625422637036443,-2.4225036134512434,5.0285332540261685,98.52634941996499,12.786820896201935,True,False,84.26858313577289,2026-04-28,81.27999877929688,-4.3652184700832874,119725.4382019043,True,290,True,2026-04-28,3.9862179040716317,3.2862179040716315,-0.7182637298017485,4.00448163387338,4.072339577146811,-0.590545933498865,ok,True,2026-04-30,17.374945512731355,16.674945512731355,1.2465323769958243,15.42841313573553,17.728843354485612,-0.590545933498865,ok,3.0000000000000027,2.3000000000000025,2026-04-28,TARGET,True,2026-05-04,17.737966007719663,17.037966007719664,0.0826325018437386,16.955333505875924,23.585135896714824,-0.590545933498865,ok,4.928003377195789,4.228003377195789,2026-04-29,TARGET,7.925946330829947,7.225946330829947,2026-04-29,TARGET,9.924574966586054,9.224574966586054,2026-04-29,TARGET,0.5,6.0,ALL_TOP_RANK_1D,1,3.2862179040716315,3.9862179040716317,2026-04-28,TIME,4.00448163387338,4.072339577146811,-0.590545933498865,2.7862179040716315
2,7.4519486,1.0,0.6868834490317823,0.2714,0,1,0,MODERATE_BULL,partial,"RS SP+6.7%/NQ+5.8%, at_high +0.3%, ma60 above, ATR 3.1%(mid)로 손절폭 적정. liq=mid, OR missing이나 장중 OR 완성 시 진입 대기. opening_range_pullback 슬롯 후보 중 ATR/RS 균형 최우수.",0,1,2026-04-28,US,CPRX,29.440000534057617,1.3425147471862964,1.8932887486049044,14.820594906620975,23.80151612303454,21.152265572253558,True,True,1.8631644708480055,-2.677684184933493,2.914385033688609,38.53964286229421,12.614528448176943,True,False,11.186987674857596,2026-04-29,29.06999969482422,-1.2567963061188236,42790.748566897586,True,291,True,2026-04-29,-2.78637590108608,-3.48637590108608,-0.6184223502329382,-2.8679535508531417,0.2751975388575856,-3.508773541353971,ok,True,2026-05-01,-0.9995179751038585,-1.6995179751038585,0.7963398307256127,-2.495857805829471,0.2751975388575856,-4.850360723131186,ok,-2.0000000000000018,-2.700000000000002,2026-04-29,STOP,True,2026-05-05,6.4503588586039,5.750358858603899,1.3768396299889691,4.3735192286149305,6.518749493145215,-4.850360723131186,ok,-2.0000000000000018,-2.700000000000002,2026-04-29,STOP,-2.996296567196921,-3.696296567196921,2026-04-30,STOP,6.4503588586039,5.750358858603899,2026-05-05,TIME,0.1111111111111111,2.0,ALL_TOP_RANK_1D,1,-3.48637590108608,-2.78637590108608,2026-04-29,TIME,-2.8679535508531417,0.2751975388575856,-3.508773541353971,-3.98637590108608
1,13.954,1.0,2.98850574712643,6.1456,0,1,0,MILD_BULL,partial,"당일 +14% 급등, RS +13.9%, at_high, MA60 위, 유동성 high, ep=mid(적정), ATR 3.1%(mid), gap_pullback 적합. day_gainers weak_TR 27%지만 RS·유동성·ep 모두 충족 | RS +13.0% vs SP, at_high(+5.3%), ma60 above, high liq, ep=mid(gap_pullback 중 가장 양호). 섹터(XLV 약세 속 개별 강세) 주목. | RS+14.4%, at_high, liq=mid, atr=mid(3.1%), ep=mid — 손절폭 관리 가능, gap_pullback 슬롯",0,3,2026-04-29,US,CNC,53.97999954223633,16.78926772444036,9.433149785925332,38.659130599117205,64.87476952424045,26.121494257561515,True,True,3.6455001763495423,-1.171730871775678,3.395044390766059,63.218362137871466,9.416610958191107,True,False,55.45815856604934,2026-04-30,53.47999954223633,-0.9262689963692505,79545.08198026428,True,292,True,2026-04-30,0.39266844852308136,-0.3073315514769186,-0.13607625845773952,-0.17125529301917908,0.8227349111353144,-1.2341059331738902,ok,True,2026-05-04,-0.9041692928582479,-1.6041692928582478,-1.2841912120370662,-0.3199780808211816,1.1593099049956201,-1.2341059331738902,ok,-0.9041692928582479,-1.6041692928582478,2026-05-04,TIME,True,2026-05-06,2.5257694219327886,1.8257694219327887,1.0602049889695604,0.7655644329632283,4.094986248044763,-2.767388846118979,ok,-2.884215400451251,-3.584215400451251,2026-05-06,STOP,2.5257694219327886,1.8257694219327887,2026-05-06,TIME,2.5257694219327886,1.8257694219327887,2026-05-06,TIME,0.14814814814814814,1.0,ALL_TOP_RANK_1D,1,-0.3073315514769186,0.39266844852308136,2026-04-30,TIME,-0.17125529301917908,0.8227349111353144,-1.2341059331738902,-0.8073315514769186
4,11.8912,1.0,7.5268817204301035,-0.4502,0,1,0,MILD_BULL,initial,"RS +11.9%, ma60 above, near_high, liq=mid. ep=high이나 ATR 3%(mid)로 손절 관리 가능. gap_pullback 슬롯 후보. trade_ready | RS+11.9% at_high, ma60 above, liq=mid, atr=low~mid, gap_pullback. 구조 좋으나 liq=mid로 watch 유지.",0,2,2026-04-30,US,TEVA,35.06999969482422,0.6746079943281691,3.4017524264781773,12.36782984563991,15.93388328867511,-3.2551732556573287,True,True,3.7477383554420154,-2.6374257381073796,3.211890684937767,44.53055893191037,9.67889381835063,True,False,6.25498947032448,2026-05-01,35.15999984741211,0.25663003527534034,51826.1917184433,True,293,True,2026-05-01,-0.5972670232764932,-1.2972670232764931,-0.7831855231802403,-0.5140815000962529,0.05688412357927053,-1.848696042945941,ok,True,2026-05-05,2.1320569712041992,1.4320569712041993,-0.21171968664307417,1.6437766578472734,2.332194819063904,-1.848696042945941,ok,2.1320569712041992,1.4320569712041993,2026-05-05,TIME,True,2026-05-07,0.36361652775573905,-0.3363834722442609,-1.3019020503406413,0.9655185780963804,5.204783387362211,-1.848696042945941,ok,2.8943113467477355,2.1943113467477353,2026-05-07,TARGET,0.36361652775573905,-0.3363834722442609,2026-05-07,TIME,0.36361652775573905,-0.3363834722442609,2026-05-07,TIME,0.1875,4.0,ALL_TOP_RANK_1D,1,-1.2972670232764931,-0.5972670232764932,2026-05-01,TIME,-0.5140815000962529,0.05688412357927053,-1.848696042945941,-1.7972670232764931
1,24.221891,1.0,0.939037148824112,17.1203,0,1,0,MODERATE_BULL,rescreen," | 강한RS+고점돌파 | RS+20.9% 강력, at_high, liq=high, ma60=above, opening_range_pullback 적합, ATR=5.9%(high)로 momentum 슬롯 최우선 | RS +21.3%/+21.4% 최강, day_gainer 최상위, at_high, liq=high, ma60=above, opening_range_pullback fit. ATR 5.9% 수용 가능. missed watch_only 높은 day_gainers 그룹 반영해 trade_ready 승격. | RS +23.2%/+23.3% 극강, at_high, liq=high, ma60=above, opening_range_pullback fit, ATR 5.8% 허용 범위, missed watch_only 높은 day_gainers 그룹 반영 | RS+23.2% 강한 모멘텀, at_high, liq=mid, ma60=above, atr=5.8%(high)이나 갭 상승 후 ORP 셋업 유효. day_gainers missed_watch 낮고 hit_rate 우수",0,6,2026-05-01,US,TEAM,88.87999725341797,29.58157457185735,20.892262131727925,24.220815461215285,30.150821587130782,-15.384618736918299,True,False,3.673543989824738,-1.496183146724761,6.116657377426451,131.03150866866284,9.883659734247718,True,False,20.267161852883063,2026-05-04,88.16999816894531,-0.7988288776025532,129762.42968311161,True,294,True,2026-05-04,5.659527726883429,4.959527726883429,-0.9860829554960475,5.945610682379476,9.241241685067392,-0.8052615393188578,ok,True,2026-05-06,0.8671380067829082,0.16713800678290824,1.3653431522491772,-1.198205145466269,9.241241685067392,-4.179423426473039,ok,3.0000000000000027,2.3000000000000025,2026-05-04,TARGET,True,2026-05-08,2.6944129234619085,1.9944129234619086,0.5581855234588879,1.4362274000030206,9.241241685067392,-4.253147417349956,ok,5.000000000000004,4.300000000000004,2026-05-04,TARGET,8.000000000000007,7.300000000000007,2026-05-04,TARGET,2.6944129234619085,1.9944129234619086,2026-05-08,TIME,0.7272727272727273,1.0,ALL_TOP_RANK_1D,1,4.959527726883429,5.659527726883429,2026-05-04,TIME,5.945610682379476,9.241241685067392,-0.8052615393188578,4.459527726883429
